iter	Passed	Remaining
901	1581	171
902	1581	169
903	1582	168
904	1583	166
905	1584	164
906	1585	162
907	1585	160
908	1586	158
909	1587	157
910	1588	155
911	1589	153
912	1589	151
913	1590	149
914	1591	147
915	1592	146
916	1593	144
917	1594	142
918	1594	140
919	1595	138
920	1596	136
921	1597	135
922	1598	133
923	1598	131
924	1599	129
925	1600	127
926	1601	126
927	1602	124
928	1602	122
929	1603	120
930	1604	118
931	1605	117
932	1606	115
933	1607	113
934	1607	111
935	1608	109
936	1609	108
937	1609	106
938	1610	104
939	1611	102
940	1612	101
941	1613	99
942	1614	97
943	1614	95
944	1615	94
945	1616	92
946	1617	90
947	1618	88
948	1618	87
949	1619	85
950	1620	83
951	1621	81
952	1622	80
953	1623	78
954	1623	76
955	1624	74
956	1625	73
957	1626	71
958	1627	69
959	1628	67
960	1628	66
961	1629	64
962	1630	62
963	1631	60
964	1632	59
965	1633	57
966	1633	55
967	1634	54
968	1635	52
969	1636	50
970	1637	48
971	1637	47
972	1638	45
973	1639	43
974	1640	42
975	1641	40
976	1641	38
977	1642	36
978	1643	35
979	1644	33
980	1645	31
981	1646	30
982	1646	28
983	1647	26
984	1648	25
985	1649	23
986	1650	21
987	1650	20
988	1651	18
989	1652	16
990	1653	15
991	1654	13
992	1655	11
993	1655	9
994	1656	8
995	1657	6
996	1658	4
997	1659	3
998	1660	1
999	1660	0
